item_id,title,description,category,content_type,created_date,duration_minutes,word_count,author,tags
0,Sample post about sports #0,This is a post about sports. Lorem ipsum dolor sit amet.,sports,post,2025-05-21,,,Author_30,"['tag_9', 'tag_12', 'tag_6']"
1,Sample article about sports #1,This is a article about sports. Lorem ipsum dolor sit amet.,sports,article,2025-04-03,,985,Author_38,['tag_10']
2,Sample video about travel #2,This is a video about travel. Lorem ipsum dolor sit amet.,travel,video,2025-05-31,10,,Author_38,"['tag_8', 'tag_4', 'tag_10']"
3,Sample post about sports #3,This is a post about sports. Lorem ipsum dolor sit amet.,sports,post,2025-08-19,,,Author_23,"['tag_14', 'tag_12', 'tag_3']"
4,Sample article about health #4,This is a article about health. Lorem ipsum dolor sit amet.,health,article,2025-02-06,,4115,Author_7,"['tag_12', 'tag_15']"
5,Sample video about entertainment #5,This is a video about entertainment. Lorem ipsum dolor sit amet.,entertainment,video,2025-06-11,94,,Author_34,"['tag_9', 'tag_20', 'tag_18']"
6,Sample video about food #6,This is a video about food. Lorem ipsum dolor sit amet.,food,video,2025-01-29,106,,Author_47,"['tag_9', 'tag_11', 'tag_8']"
7,Sample video about sports #7,This is a video about sports. Lorem ipsum dolor sit amet.,sports,video,2025-01-22,32,,Author_49,"['tag_19', 'tag_20']"
8,Sample video about travel #8,This is a video about travel. Lorem ipsum dolor sit amet.,travel,video,2025-08-26,64,,Author_21,['tag_16']
9,Sample video about science #9,This is a video about science. Lorem ipsum dolor sit amet.,science,video,2025-04-30,44,,Author_18,"['tag_9', 'tag_18', 'tag_1']"
10,Sample article about science #10,This is a article about science. Lorem ipsum dolor sit amet.,science,article,2025-05-09,,3429,Author_32,"['tag_8', 'tag_16', 'tag_16']"
11,Sample article about food #11,This is a article about food. Lorem ipsum dolor sit amet.,food,article,2025-07-24,,2510,Author_15,"['tag_8', 'tag_10']"
12,Sample video about health #12,This is a video about health. Lorem ipsum dolor sit amet.,health,video,2024-11-30,68,,Author_23,"['tag_18', 'tag_11']"
13,Sample post about health #13,This is a post about health. Lorem ipsum dolor sit amet.,health,post,2025-01-20,,,Author_18,"['tag_9', 'tag_8']"
14,Sample post about sports #14,This is a post about sports. Lorem ipsum dolor sit amet.,sports,post,2025-06-03,,,Author_21,['tag_18']
15,Sample article about entertainment #15,This is a article about entertainment. Lorem ipsum dolor sit amet.,entertainment,article,2025-05-22,,4066,Author_18,"['tag_19', 'tag_17', 'tag_20']"
16,Sample article about politics #16,This is a article about politics. Lorem ipsum dolor sit amet.,politics,article,2025-06-02,,2526,Author_15,"['tag_6', 'tag_10']"
17,Sample post about technology #17,This is a post about technology. Lorem ipsum dolor sit amet.,technology,post,2024-12-10,,,Author_9,"['tag_2', 'tag_2']"
18,Sample post about politics #18,This is a post about politics. Lorem ipsum dolor sit amet.,politics,post,2025-07-07,,,Author_41,"['tag_4', 'tag_1']"
19,Sample video about politics #19,This is a video about politics. Lorem ipsum dolor sit amet.,politics,video,2025-01-07,57,,Author_22,['tag_2']
20,Sample video about politics #20,This is a video about politics. Lorem ipsum dolor sit amet.,politics,video,2025-07-13,106,,Author_5,"['tag_16', 'tag_3']"
21,Sample article about technology #21,This is a article about technology. Lorem ipsum dolor sit amet.,technology,article,2025-06-25,,4710,Author_20,['tag_8']
22,Sample post about sports #22,This is a post about sports. Lorem ipsum dolor sit amet.,sports,post,2025-02-08,,,Author_39,"['tag_20', 'tag_8', 'tag_17']"
23,Sample video about travel #23,This is a video about travel. Lorem ipsum dolor sit amet.,travel,video,2025-01-26,39,,Author_38,"['tag_10', 'tag_19']"
24,Sample post about technology #24,This is a post about technology. Lorem ipsum dolor sit amet.,technology,post,2025-07-21,,,Author_49,['tag_7']
25,Sample post about politics #25,This is a post about politics. Lorem ipsum dolor sit amet.,politics,post,2025-07-30,,,Author_11,['tag_6']
26,Sample article about sports #26,This is a article about sports. Lorem ipsum dolor sit amet.,sports,article,2025-09-08,,3446,Author_29,"['tag_20', 'tag_16', 'tag_10']"
27,Sample article about technology #27,This is a article about technology. Lorem ipsum dolor sit amet.,technology,article,2025-04-15,,2416,Author_45,"['tag_3', 'tag_8']"
28,Sample post about politics #28,This is a post about politics. Lorem ipsum dolor sit amet.,politics,post,2024-11-12,,,Author_43,['tag_14']
29,Sample post about sports #29,This is a post about sports. Lorem ipsum dolor sit amet.,sports,post,2025-05-17,,,Author_42,['tag_9']
